x,FluoroMax
189.18,0.07868
197.18,0.13545
203.97,0.19267
213.87,0.22424
231.21,0.24974
256,0.25345
285.12,0.24735
302.48,0.23787
330.36,0.23789
360.11,0.24025
381.18,0.23331
404.11,0.2211
429.53,0.20247
478.5,0.16247
529.95,0.13361
554.75,0.11425
608.69,0.08903
632.86,0.07917
657.66,0.07075
682.46,0.0623
707.88,0.05406
731.44,0.04831
751.28,0.04171
772.36,0.036553
791.59,0.029474
806.48,0.024235
814.55,0.019829
822.01,0.016146
830.7,0.013018
840.02,0.010496
857.46,0.0035592
870.58,0.0011269
881.82,0.0004602
893.05,0.00018795
896.78,0.0001663
900.53,0.00011923
